Timestamp,Resposnse ID,Where do you reside currently?,What is your age?,What is your gender?,Do you approve or disapprove of the way Hage Geingob is handling his job as president?,Which one of the following issues matters MOST to you right now?,"Did you vote in the 2014 presidential election, or not?","If the 2019 Namibia general election were being held today, which candidate would you vote for?",What is your education level?
10/24/2019 17:49:18,1,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,College Diploma
10/24/2019 17:52:07,2,Khomas,25-34,Male,Neither Approve nor Disapprove,Jobs and the Economy,Did not vote in 2014,M. Venaani,College Diploma
10/24/2019 17:52:20,3,Khomas,35-44,Male,Strongly Disapprove,Education,Did not vote in 2014,H. Mudge,Grade 12
10/24/2019 17:56:17,4,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,M. Venaani,Grade 12
10/24/2019 18:00:54,5,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:01:29,6,Karas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Grade 12
10/24/2019 18:04:02,7,Erongo,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 18:04:49,8,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,M. Venaani,Post-Graduate Degree
10/24/2019 18:04:57,9,Khomas,25-34,Male,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:06:24,10,Khomas,25-34,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:06:50,11,Khomas,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:09:20,12,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,H. Geingob,Grade 12
10/24/2019 18:09:46,13,Oshikoto,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 18:10:02,14,Khomas,35-44,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 18:10:39,15,Omusati,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Grade 12
10/24/2019 18:12:26,16,Khomas,35-44,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:12:55,17,Omusati,18-24,Female,Disapprove,Healthcare,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:16:02,18,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,B. Swartbooi,Bachelor's Degree
10/24/2019 18:16:29,19,Khomas,25-34,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,B. Swartbooi,Grade 12
10/24/2019 18:18:08,20,Erongo,25-34,Female,Approve,Climate Change,Voted in 2014,H. Geingob,College Diploma
10/24/2019 18:18:52,21,Erongo,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,H. Geingob,Bachelor's Degree
10/24/2019 18:19:30,22,Ohangwena,18-24,Female,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Grade 12
10/24/2019 18:19:58,23,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,M. Venaani,College Diploma
10/24/2019 18:20:12,24,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,M. Venaani,Bachelor's Degree
10/24/2019 18:23:25,25,Khomas,18-24,Female,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:24:43,26,Khomas,25-34,Male,Disapprove,Education,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 18:30:50,27,Abroad,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 18:35:55,28,Khomas,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,H. Geingob,Grade 12
10/24/2019 18:42:39,29,Khomas,45-54,Male,Disapprove,Jobs and the Economy,Voted in 2014,B. Swartbooi,Post-Graduate Degree
10/24/2019 18:45:44,30,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 18:45:54,31,Abroad,25-34,Male,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,H. Geingob,Bachelor's Degree
10/24/2019 18:50:28,32,Khomas,25-34,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:51:57,33,Oshana,35-44,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,College Diploma
10/24/2019 18:53:50,34,Hardap,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:54:01,35,Erongo,18-24,Female,Approve,Jobs and the Economy,Not sure if voted in 2014,H. Geingob,Vocational Certificate
10/24/2019 18:54:20,36,Oshana,18-24,Female,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:54:57,37,Hardap,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 18:57:57,38,Erongo,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,College Diploma
10/24/2019 19:00:50,39,Oshikoto,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 19:01:40,40,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,College Diploma
10/24/2019 19:05:19,41,Ohangwena,25-34,Female,Strongly Disapprove,Education,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 19:05:46,42,Oshana,25-34,Male,Strongly Disapprove,Climate Change,Voted in 2014,P. Itula,College Diploma
10/24/2019 19:07:27,43,Oshana,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,H. Geingob,Vocational Certificate
10/24/2019 19:08:14,44,Oshana,under 18,Male,Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Grade 12
10/24/2019 19:10:53,45,Erongo,25-34,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,B. Swartbooi,Grade 12
10/24/2019 19:12:30,46,Khomas,25-34,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:13:47,47,Erongo,25-34,Female,Approve,Jobs and the Economy,Voted in 2014,H. Geingob,College Diploma
10/24/2019 19:15:20,48,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Post-Graduate Degree
10/24/2019 19:16:54,49,Erongo,25-34,Female,Approve,Jobs and the Economy,Voted in 2014,H. Geingob,College Diploma
10/24/2019 19:17:12,50,Erongo,25-34,Female,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:18:37,51,Erongo,35-44,Female,Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:19:12,52,Erongo,25-34,Male,Strongly Approve,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:24:17,53,Khomas,18-24,Female,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:25:37,54,Khomas,18-24,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,M. Venaani,Grade 10
10/24/2019 19:29:09,55,Khomas,35-44,Female,Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,College Diploma
10/24/2019 19:30:19,56,Karas,35-44,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:31:22,57,Erongo,25-34,Female,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:32:52,58,Kavango,45-54,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:33:02,59,Khomas,45-54,Female,Approve,Environment,Did not vote in 2014,H. Geingob,Bachelor's Degree
10/24/2019 19:33:45,60,Omusati,35-44,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:34:04,61,Omusati,35-44,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:35:03,62,Omusati,35-44,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 19:35:03,63,Abroad,35-44,Male,Strongly Disapprove,Education,Did not vote in 2014,M. Venaani,Bachelor's Degree
10/24/2019 19:38:20,64,Erongo,25-34,Male,Strongly Disapprove,Education,Voted in 2014,H. Geingob,Grade 12
10/24/2019 19:38:48,65,Abroad,25-34,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 19:38:56,66,Abroad,25-34,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 19:39:49,67,Omusati,35-44,Male,Strongly Approve,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 19:39:54,68,Khomas,25-34,Female,Disapprove,Jobs and the Economy,Voted in 2014,N. Ndaitwah,Bachelor's Degree
10/24/2019 19:40:02,69,Khomas,35-44,Female,Disapprove,Environment,Voted in 2014,B. Swartbooi,Grade 12
10/24/2019 19:45:48,70,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,M. Venaani,Bachelor's Degree
10/24/2019 19:46:11,71,Oshikoto,25-34,Male,Approve,Jobs and the Economy,Voted in 2014,H. Geingob,Bachelor's Degree
10/24/2019 19:46:53,72,Oshikoto,18-24,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:47:22,73,Oshana,35-44,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 19:48:18,74,Abroad,18-24,Female,Disapprove,Jobs and the Economy,Did not vote in 2014,M. Venaani,Post-Graduate Degree
10/24/2019 19:48:50,75,Oshikoto,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 19:49:28,76,Oshikoto,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 19:49:44,77,Khomas,25-34,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 19:49:49,78,Erongo,25-34,Female,Neither Approve nor Disapprove,Education,Did not vote in 2014,H. Mudge,Post-Graduate Degree
10/24/2019 19:50:35,79,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Grade 12
10/24/2019 19:50:43,80,Erongo,25-34,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,College Diploma
10/24/2019 19:54:01,81,Khomas,under 18,Male,Neither Approve nor Disapprove,Education,Did not vote in 2014,M. Venaani,Grade 12
10/24/2019 19:57:22,82,Khomas,25-34,Female,Disapprove,Jobs and the Economy,Voted in 2014,H. Geingob,Post-Graduate Degree
10/24/2019 19:57:54,83,Khomas,25-34,Male,Neither Approve nor Disapprove,Healthcare,Voted in 2014,M. Venaani,Bachelor's Degree
10/24/2019 20:01:47,84,Oshana,25-34,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:01:52,85,Khomas,18-24,Male,Disapprove,Education,Voted in 2014,P. Itula,College Diploma
10/24/2019 20:02:37,86,Khomas,25-34,Male,Disapprove,Education,Voted in 2014,P. Itula,Grade 12
10/24/2019 20:04:31,87,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Grade 12
10/24/2019 20:05:06,88,Khomas,25-34,Female,Strongly Disapprove,Healthcare,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:05:15,89,Khomas,25-34,Female,Strongly Disapprove,Healthcare,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:06:16,90,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 20:06:28,91,Omusati,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 20:06:51,92,Omusati,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 20:07:08,93,Omusati,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 20:07:49,94,Khomas,25-34,Female,Strongly Disapprove,Jobs and the Economy,Not sure if voted in 2014,H. Mudge,Vocational Certificate
10/24/2019 20:10:10,95,Oshikoto,25-34,Male,Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:10:48,96,Omusati,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:11:11,97,Oshana,45-54,Female,Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,College Diploma
10/24/2019 20:11:26,98,Khomas,18-24,Female,Neither Approve nor Disapprove,Jobs and the Economy,Did not vote in 2014,H. Geingob,Bachelor's Degree
10/24/2019 20:13:09,99,Khomas,65+,Female,Neither Approve nor Disapprove,Education,Voted in 2014,H. Mudge,Bachelor's Degree
10/24/2019 20:13:20,100,Oshana,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Grade 12
10/24/2019 20:15:17,101,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:17:25,102,Erongo,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 20:17:51,103,Oshikoto,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:18:35,104,Khomas,55-64,Female,Disapprove,Education,Voted in 2014,I. Shixwameni,Bachelor's Degree
10/24/2019 20:19:52,105,Kavango,25-34,Male,Strongly Disapprove,Education,Voted in 2014,P. Itula,Grade 12
10/24/2019 20:20:37,106,Kavango,18-24,Male,Strongly Disapprove,Education,Did not vote in 2014,H. Geingob,Grade 10
10/24/2019 20:20:48,107,Erongo,35-44,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Vocational Certificate
10/24/2019 20:21:14,108,Omusati,25-34,Male,Strongly Disapprove,Education,Voted in 2014,P. Itula,College Diploma
10/24/2019 20:22:43,109,Oshana,18-24,Female,Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Grade 12
10/24/2019 20:27:33,110,Otjozondjupa,35-44,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Grade 12
10/24/2019 20:28:36,111,Oshana,25-34,Male,Strongly Approve,Jobs and the Economy,Voted in 2014,H. Geingob,Grade 12
10/24/2019 20:28:44,112,Khomas,18-24,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:30:46,113,Oshana,25-34,Female,Disapprove,Jobs and the Economy,Voted in 2014,M. Venaani,College Diploma
10/24/2019 20:31:10,114,Oshana,25-34,Female,Disapprove,Jobs and the Economy,Voted in 2014,M. Venaani,College Diploma
10/24/2019 20:31:19,115,Otjozondjupa,25-34,Male,Approve,Jobs and the Economy,Voted in 2014,B. Swartbooi,Bachelor's Degree
10/24/2019 20:35:01,116,Omusati,25-34,Male,Strongly Disapprove,Healthcare,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 20:35:18,117,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:36:45,118,Erongo,25-34,Female,Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Grade 12
10/24/2019 20:37:51,119,Khomas,18-24,Female,Disapprove,Jobs and the Economy,Did not vote in 2014,B. Swartbooi,Grade 12
10/24/2019 20:41:55,120,Omusati,18-24,Male,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,E. Muijangue,Bachelor's Degree
10/24/2019 20:42:03,121,Oshana,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:43:07,122,Khomas,25-34,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,College Diploma
10/24/2019 20:43:48,123,Oshana,35-44,Female,Strongly Disapprove,Jobs and the Economy,Voted in 2014,M. Venaani,Bachelor's Degree
10/24/2019 20:44:52,124,Khomas,18-24,Female,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:45:16,125,Oshana,18-24,Female,Approve,Jobs and the Economy,Voted in 2014,H. Geingob,College Diploma
10/24/2019 20:47:12,126,Kavango,25-34,Female,Strongly Disapprove,Healthcare,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 20:47:37,127,Kavango,25-34,Female,Strongly Disapprove,Healthcare,Voted in 2014,P. Itula,Post-Graduate Degree
10/24/2019 20:49:26,128,Khomas,25-34,Male,Neither Approve nor Disapprove,Healthcare,Voted in 2014,H. Geingob,Post-Graduate Degree
10/24/2019 20:50:02,129,Khomas,25-34,Female,Strongly Disapprove,Jobs and the Economy,Did not vote in 2014,H. Geingob,Post-Graduate Degree
10/24/2019 20:50:42,130,Khomas,25-34,Male,Strongly Disapprove,Healthcare,Voted in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:51:42,131,Khomas,25-34,Male,Neither Approve nor Disapprove,Climate Change,Did not vote in 2014,H. Geingob,Post-Graduate Degree
10/24/2019 20:51:46,132,Erongo,35-44,Male,Strongly Disapprove,Jobs and the Economy,Voted in 2014,P. Itula,Vocational Certificate
10/24/2019 20:52:07,133,Khomas,25-34,Male,Disapprove,Jobs and the Economy,Did not vote in 2014,M. Venaani,Grade 12
10/24/2019 20:52:15,134,Hardap,25-34,Female,Neither Approve nor Disapprove,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:52:53,135,Oshana,25-34,Male,Neither Approve nor Disapprove,Jobs and the Economy,Voted in 2014,H. Geingob,Bachelor's Degree
10/24/2019 20:54:10,136,Erongo,25-34,Male,Neither Approve nor Disapprove,Jobs and the Economy,Not sure if voted in 2014,H. Geingob,Bachelor's Degree
10/24/2019 20:55:46,137,Erongo,25-34,Female,Strongly Approve,Jobs and the Economy,Did not vote in 2014,P. Itula,Bachelor's Degree
10/24/2019 20:58:14,138,Kavango,45-54,Male,Strongly Approve,Climate Change,Voted in 2014,H. Geingob,Grade 12
